Category	Firmware Capability	Firmware CmdID	Python CLI Command	Lean CLI Command	Lean Status	Notes
Device/System	DATA_CMD_GET_APP_VERSION	1000	hw version	hw version	Implemented
Device/System	DATA_CMD_CHANGE_DEVICE_MODE	1001	hw mode (set)	hw mode	Implemented	shown as read/show in Lean summary but sets too
Device/System	DATA_CMD_GET_DEVICE_MODE	1002	hw mode (get)	hw mode	Implemented
Device/System	DATA_CMD_ENTER_BOOTLOADER	1010	hw dfu	hw dfu	Implemented
Device/System	DATA_CMD_GET_DEVICE_CHIP_ID	1011	hw chipid	hw chipid	Implemented
Device/System	DATA_CMD_GET_DEVICE_ADDRESS	1012	hw address	hw address	Implemented
Device/System	DATA_CMD_SAVE_SETTINGS	1013	hw settings store	hw settings store	Implemented
Device/System	DATA_CMD_RESET_SETTINGS	1014	hw settings reset	hw settings reset	Implemented
Device/System	DATA_CMD_SET_ANIMATION_MODE	1015	hw settings animation (set)	hw settings animation set	Implemented
Device/System	DATA_CMD_GET_ANIMATION_MODE	1016	hw settings animation (get)	hw settings animation get	Implemented
Device/System	DATA_CMD_GET_GIT_VERSION	1017	(not seen as separate cmd)	hw gitversion	Implemented	Lean exposes this explicitly; python may fold into hw version
Device/System	DATA_CMD_WIPE_FDS	1020	hw factory_reset	hw factory_reset	Implemented
Device/System	DATA_CMD_GET_BATTERY_INFO	1025	hw battery	hw battery	Implemented
Device/System	DATA_CMD_GET_BUTTON_PRESS_CONFIG	1026	hw settings btnpress (get)	hw settings button get	Implemented
Device/System	DATA_CMD_SET_BUTTON_PRESS_CONFIG	1027	hw settings btnpress (set)	hw settings button set	Implemented
Device/System	DATA_CMD_GET_LONG_BUTTON_PRESS_CONFIG	1028	hw settings btnpress (get, long)	hw settings button longget	Implemented
Device/System	DATA_CMD_SET_LONG_BUTTON_PRESS_CONFIG	1029	hw settings btnpress (set, long)	hw settings button longset	Implemented
Device/System	DATA_CMD_GET_DEVICE_MODEL	1033	(not seen as separate cmd)	hw model	Implemented
Device/System	DATA_CMD_GET_DEVICE_SETTINGS	1034	(queried piecemeal)	hw settings dump	Implemented	Lean has a single dump-all; python queries individually
Device/System	DATA_CMD_GET_DEVICE_CAPABILITIES	1035	MISSING	MISSING	Gap	neither CLI exposes the capability-list query
Device/System	DATA_CMD_GET_SLEEP_TIMEOUT	1039	hw settings sleeptimeout (get)	hw settings sleep get	Implemented
Device/System	DATA_CMD_SET_SLEEP_TIMEOUT	1040	hw settings sleeptimeout (set)	hw settings sleep set	Implemented
BLE/Config	DATA_CMD_SET_BLE_PAIRING_KEY	1030	hw settings blekey (set)	hw settings blekey set	Implemented
BLE/Config	DATA_CMD_GET_BLE_PAIRING_KEY	1031	hw settings blekey (get)	hw settings blekey get	Implemented
BLE/Config	DATA_CMD_DELETE_ALL_BLE_BONDS	1032	hw settings bleclearbonds	hw settings blebonds_clear	Implemented
BLE/Config	DATA_CMD_GET_BLE_PAIRING_ENABLE	1036	hw settings blepair (get)	hw settings blepair get	Implemented
BLE/Config	DATA_CMD_SET_BLE_PAIRING_ENABLE	1037	hw settings blepair (set)	hw settings blepair set	Implemented
Slot Management	DATA_CMD_SET_ACTIVE_SLOT	1003	hw slot change	hw slot change	Implemented
Slot Management	DATA_CMD_SET_SLOT_TAG_TYPE	1004	hw slot type	hw slot type	Implemented
